year,trademark_class,trademark_filings,rank
2021,Class 36: Insurance; financial affairs; monetary affairs; real estate affairs,2354,7
2021,"Class 25: Clothing, footwear, headgear",2000,8
2021,"Class 30: Coffee, tea, cocoa, sugar, rice, tapioca, sago, powder; salt etc.",1926,9
2021,Class 43: Services for providing food and drink; temporary accommodation,1752,10
2021,"Class 29: Meat, fish, poultry and game; meat extracts etc.",1518,11
2021,"Class 10: Surgical, medical, dental and veterinary apparatus and instruments, artificial limbs etc.",1330,12
2021,Class 7: Machines and machine tools etc.,1294,13
2021,"Class 16: Paper, cardboard etc.",1279,14
2021,"Class 11: Apparatus for lighting, heating, steam generating, cooking, etc.",1249,15
2021,Class 38: Telecommunications,1173,16
2021,Class 44: Medical services; veterinary services; hygienic and beauty care for human beings etc.,1107,17
2021,Class 28: Games and playthings; gymnastic and sporting articles etc.,1062,18
2021,Class 37: Building construction; repair; installation services,1001,19
2021,Class 21: Household or kitchen utensils and containers  etc.,991,20
2021,Class 18: Leather and imitations of leather etc.,959,21
2021,Class 32: Beers; mineral and aerated waters and other non-alcoholic drinks etc.,914,22
2021,"Class 12: Vehicles; apparatus for locomotion by land, air or water",888,23
2021,Class 39: Transport; packaging and storage of goods; travel arrangement,834,24
2021,Class 1: Chemicals used in industry etc.,833,25
2021,Class 33: Alcoholic beverages (except beers) etc.,808,26
2021,"Class 20: Furniture, mirrors, picture frames etc.",778,27
2021,Class 45: Legal services; personal and social services rendered by others to meet the needs of individuals etc.,747,28
2021,Class 14: Precious metals and their alloys etc.,742,29
2021,"Class 31: Agricultural, horticultural and forestry products and grains for animals; malt etc.",543,30
2021,Class 40: Treatment of materials,510,31
2021,Class 6: Common metals and their alloys etc.,477,32
2021,"Class 24: Textiles and textile goods, not included in other classes; bed and table covers etc.",466,33
2021,"Class 4: Industrial oils and greases, lubricants etc.",387,34
2021,Class 8: Hand tools and implements (hand-operated); cutlery; side arms; razors,384,35
2021,"Class 17: Rubber, gutta-percha, gum, asbestos, mica etc.",342,36
2021,Class 19: Building materials (non-metallic); non-metallic rigid pipes for building etc.,318,37
2021,"Class 2: Paints, varnishes, lacquers etc.",190,38
2021,Class 34: Tobacco; smokers' articles; matches,187,39
2021,"Class 27: Carpets, rugs, mats and matting, linoleum etc.",183,40
2021,"Class 26: Lace and embroidery, ribbons and braid; buttons, hooks and eyes etc.",142,41
2021,"Class 22: Ropes, string, nets, tents, awnings, tarpaulins, sails etc.",94,42
2021,Class 15: Musical instruments,86,43
2021,Class 13: Firearms; ammunition and projectiles; explosives; fireworks,34,44
2021,"Class 23: Yarns and threads, for textile use",32,45
2022,"Class 9: Scientific, nautical, surveying, photographic, cinematographic etc.",7638,1
2022,Class 35: Advertising; business management; business administration; office functions,6221,2
2022,Class 42: Scientific and technological services and research and design relating thereto etc.,5721,3
2022,Class 41: Education; providing of training; entertainment; sporting and cultural activities,3709,4
2022,Class 36: Insurance; financial affairs; monetary affairs; real estate affairs,2682,5
2022,"Class 3: Cleaning preparations, soaps, perfumery, essential oils, cosmetics etc.",2623,6
2022,Class 5: Pharmaceutical and veterinary preparations etc.,2511,7
2022,"Class 25: Clothing, footwear, headgear",2044,8
